date,event_code,goldstein,num_mentions,avg_tone,actor1,actor2,location,latitude,longitude,source_url
2025-11-03,130,-4.4,1,1,SUDAN,NILE,"Kordofan, Shamal Kurdufan, Sudan",37089,13.0833,-9440
2025-11-03,130,-4.4,3,3,,ARMY,"El-Obeid, Shamal Kurdufan, Sudan",37087,13.1833,-2236
2025-11-03,46,7.0,1,1,BAHRAIN,SAUDI ARABIA,"El-Obeid, Shamal Kurdufan, Sudan",37087,13.1833,-2236
2025-11-03,154,-7.2,1,1,SUDAN,,"El-Obeid, Shamal Kurdufan, Sudan",37087,13.1833,-2236
2025-11-03,115,-2.0,10,10,SUDAN,INTERNATIONAL COURT OF JUSTICE,"El-Fasher, Shamal Darfur, Sudan",37080,13.6333,-1684
2025-11-03,80,5.0,1,1,,DISPLACED PEOPLE,"Tawila, Shamal Darfur, Sudan",37080,13.5,-15004
2025-11-03,173,-5.0,5,5,VILLAGE,SUDAN,"Khartoum, Al Khartum, Sudan",37069,15.5881,-1987
2025-11-03,128,-5.0,10,10,ACTOR,,"Khartoum, Al Khartum, Sudan",37069,15.5881,-1987
2025-11-03,1056,-5.0,5,5,MALAYSIA,,"Tawila, Shamal Darfur, Sudan",37080,13.5,-15004
2025-11-03,13,0.4,2,2,SUDAN,PARAMILITARY,"El-Obeid, Shamal Kurdufan, Sudan",37087,13.1833,-2236
2025-11-03,80,5.0,4,4,SUDAN,MALAYSIA,"El Fasher, Shamal Darfur, Sudan",37080,13.6333,-1684
2025-11-03,841,7.0,6,6,SOUTH SUDANESE,,Sudan,,16.0,SU
2025-11-03,114,-2.0,6,6,SOUTH SUDANESE,,Sudan,,16.0,SU
2024-11-03,120,-4.0,1,1,CANADA,,"El Fasher, Shamal Darfur, Sudan",37080,13.6333,-1684
2025-11-03,36,4.0,8,8,,REFUGEE,"El Fasher, Shamal Darfur, Sudan",37080,13.6333,-1684
2025-11-03,43,2.8,2,2,CANADA,COMMUNITY,"El Fasher, Shamal Darfur, Sudan",37080,13.6333,-1684
2025-10-27,51,3.4,3,3,THE UN,DARFUR,"El-Fasher, Shamal Darfur, Sudan",37080,13.6333,-1684
2025-10-27,80,5.0,5,5,ARMY,THE UN,"Kordofan, Shamal Kurdufan, Sudan",37089,13.0833,-9440
2025-11-03,20,3.0,7,7,STATE MINIST,MILITIA,"Northern Kordofan, Shamal Kurdufan, Sudan",37088,14.5,315444
2025-11-03,110,-2.0,10,10,BARA,SUDAN,"Northern Kordofan, Shamal Kurdufan, Sudan",37088,14.5,315444
2025-11-03,100,-5.0,3,3,SUDAN,SUDAN,"Northern Kordofan, Shamal Kurdufan, Sudan",37088,14.5,315444
